id,attributeName,attributeDefinition,storageType,missingValueCode,missingValueCodeExplanation,measurementScale,domain,formatString,definition,unit,numberType,propertyLabel,propertyURI,valueLabel,valueURI,metadata_pid
Cl-72,Cl,chloride concentration,float,NA,data unavailable,ratio,numericDomain,NA,NA,milligramPerLiter,real,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/14
PO4-73,PO4,soluble reactive phosphorus concentration as P,float,NA,data unavailable,ratio,numericDomain,NA,NA,milligramPerLiter,real,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/14
DOC-2,DOC,dissolved organic carbon concentration,float,NA,data unavailable,ratio,numericDomain,NA,NA,milligramPerLiter,real,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/14
TDN-75,TDN,total dissolved nitrogen concentration,float,NA,data unavailable,ratio,numericDomain,NA,NA,milligramPerLiter,real,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/14
DON-76,DON,dissolved organic nitrogen concentration,float,NA,data unavailable,ratio,numericDomain,NA,NA,milligramPerLiter,real,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/14
SiO2-77,SiO2,silica concentration as SiO2,float,NA,data unavailable,ratio,numericDomain,NA,NA,milligramPerLiter,real,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/14
Mn-78,Mn,manganese concentration,float,NA,data unavailable,ratio,numericDomain,NA,NA,milligramPerLiter,real,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/14
Fe-79,Fe,iron concentration,float,NA,data unavailable,ratio,numericDomain,NA,NA,milligramPerLiter,real,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/14
F-80,F,fluoride concentration,float,NA,data unavailable,ratio,numericDomain,NA,NA,milligramPerLiter,real,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/14
cationCharge-81,cationCharge,sum of cations,float,NA,data unavailable,ratio,numericDomain,NA,NA,microEquivalentPerLiter,real,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/14
anionCharge-82,anionCharge,sum of anions,float,NA,data unavailable,ratio,numericDomain,NA,NA,microEquivalentPerLiter,real,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/14
ionError-83,ionError,The difference between total cations and total anions expressed as a percentage,float,NA,data unavailable,ratio,numericDomain,NA,NA,percent,real,has unit,http://qudt.org/schema/qudt/hasUnit,Percent,http://qudt.org/vocab/unit/PERCENT,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/14
duplicate-84,duplicate,"duplicate sample taken at the same site, date, and time as another sample",string,NA,data unavailable,nominal,textDomain,NA,text,NA,NA,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/14
sampleType-85,sampleType,"describes frequency and type of sample collected i.e. routine, event grab, or ISCO autosampler",string,NA,data unavailable,nominal,textDomain,NA,text,NA,NA,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/14
ionBalance-86,ionBalance,The difference between total cations and total anions,float,NA,data unavailable,ratio,numericDomain,NA,NA,microEquivalentPerLiter,real,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/14
canonical-87,canonical,Is this sample used in the canonical watershed mass balances from Hubbard Brook?,string,NA,data unavailable,nominal,enumeratedDomain,NA,NA,NA,NA,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/14
pHmetrohm-88,pHmetrohm,pH measured on Metrohm meter,string,NA,data unavailable,nominal,textDomain,NA,text,NA,NA,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/14
